"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"1CMET2-PWY"	12	0.137809064711892	0.0979009934553356
"2PHENDEG-PWY"	2	0.221235940741717	0.221235940741717
"4AMINOBUTMETAB-PWY"	4	0.23043719503088	0.159780860661872
"ACETATEUTIL-PWY"	5	0.132812453843108	0.110452729540883
"ACETOACETATE-DEG-PWY"	4	0.192237198846174	0.164729504254608
"ALADEG-PWY"	3	0.350370980966961	0.149651926875079
"ALANINE-SYN2-PWY"	2	0.0311177591096259	0.0311177591096259
"ALANINE-VALINESYN-PWY"	4	0.0734513667758517	0.0430901166809575
"ALKANEMONOX-PWY"	2	0.298611926009402	0.298611926009402
"ALL-CHORISMATE-PWY"	57	0.0992707195403283	0.0760766645735905
"AMMASSIM-PWY"	3	0.406504771841968	0.294374003975993
"ARABCAT-PWY"	3	0.430205801866611	0.417741705984946
"ARG+POLYAMINE-SYN"	22	0.170632548820512	0.121433382010159
"ARGDEG-PWY"	12	0.197121225049005	0.141372094561602
"ARGSYN-PWY"	12	0.327098965879833	0.344490919796055
"ARO-PWY"	11	0.151179988180638	0.130921020092792
"ASPARAGINE-BIOSYNTHESIS"	1	1	1
"ASPARAGINE-DEG1-PWY"	3	0.0466494106043796	0.0471270868518078
"ASPARAGINESYN-PWY"	2	0.233309816607179	0.233309816607179
"ASPARTATESYN-PWY"	1	1	1
"ASPASN-PWY"	7	0.0939623344573123	0.0618385216723891
"AST-PWY"	5	0.559055113260551	0.540098820094315
"BETSYN-PWY"	2	0.551306388361007	0.551306388361007
"BGALACT-PWY"	1	1	1
"BIOTIN-BIOSYNTHESIS-PWY"	13	0.14213374129449	0.0840859215840076
"BRANCHED-CHAIN-AA-SYN-PWY"	16	0.189263074111401	0.155953161091458
"BSUBPOLYAMSYN-PWY"	2	0.717824667799703	0.717824667799703
"CARNMET-PWY"	4	0.255463305591972	0.236520578631321
"COA-PWY"	3	0.0654363062177227	0.0308035125903797
"COBALSYN-PWY"	5	0.148356135633752	0.0865113724217085
"COLANSYN-PWY"	10	0.118486471189811	0.079373760377869
"COMPLETE-ARO-PWY"	21	0.166689430513588	0.140178772232791
"CYANCAT-PWY"	2	0.366999377777525	0.366999377777525
"CYSTSYN-PWY"	3	0.182983955793137	0.0768727467996796
"DAPLYSINESYN-PWY"	10	0.16901299237835	0.144261522201488
"DARABCATK12-PWY"	4	0.262330873054068	0.247421460868113
"DENOVOPURINE2-PWY"	33	0.219169969816364	0.181955633381925
"DETOX1-PWY"	6	0.119529497868481	0.112484997981102
"DTDPRHAMSYN-PWY"	5	0.417529430479649	0.597383233970439
"ECASYN-PWY"	10	0.34135370685404	0.33852395511664
"ENTBACSYN-PWY"	9	0.242461461465456	0.105769429974904
"ENTNER-DOUDOROFF-PWY"	2	0.246175101518784	0.246175101518784
"ETOH-ACETYLCOA-ANA-PWY"	3	0.0801049717243989	0.0481044504453977
"FAO-PWY"	7	0.329304991485187	0.35082418331396
"FASYN-ELONG-PWY"	8	0.143317157691736	0.139926539965055
"FASYN-INITIAL-PWY"	10	0.210068318582191	0.15209344469872
"FERMENTATION-PWY"	29	0.145560405286734	0.105130793268981
"FUC-RHAMCAT-PWY"	11	0.154529507797704	0.114466593411191
"FUCCAT-PWY"	4	0.272973561244688	0.260848012838754
"GALACT-GLUCUROCAT-PWY"	8	0.218804655393379	0.218627385251437
"GALACTARDEG-PWY"	5	0.256770978428913	0.322110946385339
"GALACTCAT-PWY"	3	0.444370856775595	0.424208551287953
"GALACTITOLCAT-PWY"	6	0.201766714039606	0.116312254405932
"GALACTMETAB-PWY"	5	0.298121190332992	0.29061081823754
"GALACTUROCAT-PWY"	5	0.173244450735722	0.126226382763969
"GLCMANNANAUT-PWY"	5	0.267796385537988	0.236523834883425
"GLNSYN-PWY"	1	1	1
"GLUAMCAT-PWY"	2	0.475812411856219	0.475812411856219
"GLUCARDEG-PWY"	5	0.223619525494047	0.209802311698657
"GLUCARGALACTSUPER-PWY"	6	0.239809612476965	0.232382258037898
"GLUCONEO-PWY"	17	0.144126628946217	0.10734630083531
"GLUCONSUPER-PWY"	2	0.0568271296903598	0.0568271296903598
"GLUCOSE1PMETAB-PWY"	7	0.0941771698224036	0.0771361146301053
"GLUCUROCAT-PWY"	6	0.203183886224787	0.200901547562651
"GLUT-REDOX-PWY"	5	0.0414345284975508	0.0378232934804867
"GLUTAMINDEG-PWY"	9	0.191349973107404	0.154292914901461
"GLUTATHIONESYN-PWY"	2	0.15892853559223	0.15892853559223
"GLUTDEG-PWY"	2	0.1327413964642	0.1327413964642
"GLUTORN-PWY"	6	0.31038230090037	0.351525586916424
"GLUTSYN-PWY"	2	0.685574593652366	0.685574593652366
