"Names"	"RegulonSize"	"SpearmanCorrelationMean"	"SpearmanCorrelationMedian"
"Ada-Methylated_neg"	2	0.340613804535941	0.340613804535941
"Ada-Methylated_pos"	4	0.192711789673249	0.20010475854647
"AlaS-L-alanine_neg"	1	1	1
"AllS-allantoin_pos"	3	0.257597564043294	0.298816636782892
"AraC-L-arabinose_neg"	8	0.204101929508524	0.177582449309615
"AraC-L-arabinose_pos"	10	0.183091500776611	0.158860205022805
"ArcA-Phosphorylated_neg"	125	0.157372629490595	0.118845438044098
"ArcA-Phosphorylated_pos"	58	0.174894618036655	0.136050225543872
"ArgP-L-arginine_neg"	1	1	1
"ArgP-L-arginine_pos"	15	0.126575577661126	0.0910982365858651
"ArgR-L-arginine_neg"	33	0.179456087763392	0.143977497105103
"ArgR-L-arginine_pos"	5	0.559055113260551	0.540098820094315
"AtoC-phosphorylated_pos"	4	0.268424497807519	0.27023262248327
"BaeR-Phosphorylated_pos"	8	0.15341809651784	0.146905975843657
"BirA-bio-5-AMP_neg"	5	0.511666559900828	0.514336899112241
"CRP-cAMP_neg"	131	0.112961624442793	0.0895522107155543
"CRP-cAMP_pos"	426	0.148028933115841	0.124202983791517
"ChbR-Monoacetylchitobiose-6P_neg"	6	0.205436057298039	0.203278653829294
"ChbR-Monoacetylchitobiose-6P_pos"	6	0.205436057298039	0.203278653829294
"CpxR-Phosphorylated_neg"	21	0.132473480127675	0.0809818609492375
"CpxR-Phosphorylated_pos"	44	0.100144706029996	0.0790868433050826
"CreB-Phosphorylated_neg"	3	0.641149769534696	0.642137294628626
"CreB-Phosphorylated_pos"	6	0.171423353573932	0.0736583784916868
"CueR-Ag_neg"	5	0.528969980224747	0.54224288089589
"CueR-Ag_pos"	2	0.388001606304872	0.388001606304872
"CueR-Cu+_neg"	5	0.528969980224747	0.54224288089589
"CueR-Cu+_pos"	2	0.388001606304872	0.388001606304872
"CuerR-Au_neg"	5	0.528969980224747	0.54224288089589
"CuerR-Au_pos"	2	0.388001606304872	0.388001606304872
"CusR-Pasp_pos"	12	0.229708243390511	0.101991964093453
"CynR-Cyanate_neg"	1	1	1
"CynR-Cyanate_pos"	3	0.282146346780403	0.318434058078339
"CysB-N-acetyl-L-serine_neg"	7	0.13015742720923	0.0911558406116163
"CysB-N-acetyl-L-serine_pos"	23	0.247494355553333	0.154178602793489
"CysB-O-acetyl-L-serine_neg"	7	0.13015742720923	0.0911558406116163
"CysB-O-acetyl-L-serine_pos"	24	0.233276793283498	0.140701785827951
"DcuR-Phosphorylated_pos"	9	0.273806241709968	0.185381803614099
