"Name"	"MeanOfMeans"	"MedianOfMeans"	"MeanOfMedians"	"MedianOfMedians"
"General"	0.253857423552478	0.220544424836905	0.222973485626654	0.17308124693133
"Strict"	0.279347365636545	0.235910316408304	0.251611213791714	0.198106073281122
"Simple"	0.242682575168349	0.210429909882709	0.223393695714588	0.184643176716861
"Complex"	0.417766574988951	0.404898771772783	0.409382492933336	0.39634106574232
"Simplex"	0.369959950924461	0.358738878342257	0.358598317806231	0.344656727344595
"Conf"	0.230208837468019	0.204577708832875	0.203989367481043	0.154414073989056
"Conf+Eff"	0.251894782098796	0.213678341858036	0.226391898955469	0.159982076869006
"GOs"	0.15884471807178	0.123872938601939	0.134846720208921	0.0972734621526757
"Pathways"	0.241679734822919	0.197403452416673	0.223826868687692	0.15209344469872
"TUs"	0.39823884378749	0.380132865081777	0.394815120869517	0.379907091777804
"Clusters"	0.397845329055484	0.401579597561969	0.39385241950958	0.396802620330835
